RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;;;
3620D;93111;NORDESTE;BAHIA;-13,0086699;-38,5123591;46,6470;35,7550;-10,89;-10,91;0,02;;;
3620G;93106;NORDESTE;BAHIA;-13,0108293;-38,5239023;24,7149;13,8590;-10,86;-10,93;0,07;;;
3620S;93107;NORDESTE;BAHIA;-12,9740034;-38,5145694;02,9334;-08,0160;-10,95;-10,93;-0,02;;;
3620V;93109;NORDESTE;BAHIA;-12,9230627;-38,3601638;19,2094;08,7370;-10,47;-10,80;0,33;;;
3621L;93112;NORDESTE;BAHIA;-12,9496288;-38,4321681;61,6741;51,0310;-10,64;-10,78;0,14;;;
3621N;93117;NORDESTE;BAHIA;-12,9549200;-38,4286550;38,5535;27,4040;-11,15;-10,78;-0,37;;;
3622D;93115;NORDESTE;BAHIA;-12,9775918;-38,5025690;43,7586;32,9140;-10,84;-10,90;0,06;;;
3622H;93108;NORDESTE;BAHIA;-12,9206071;-38,3535872;29,6562;18,8570;-10,80;-10,79;-0,01;;;
3623Z;93032;NORDESTE;BAHIA;-13,2983001;-43,7403946;462,2311;448,2800;-13,95;-13,89;-0,06;;;
3627U;93286;NORDESTE;BAHIA;-13,6096438;-42,9410015;627,2051;613,2520;-13,95;-13,99;0,04;;;
3628V;93287;NORDESTE;BAHIA;-13,7686736;-42,7210528;772,5895;759,0350;-13,55;-13,62;0,07;;;
3630V;93194;NORDESTE;BAHIA;-12,9738338;-38,5174020;01,8088;-09,0570;-10,87;-10,94;0,07;;;
3636S;93189;NORDESTE;BAHIA;-12,9462672;-38,4228761;46,6058;35,9470;-10,66;-10,80;0,14;;;
3640A;93195;NORDESTE;BAHIA;-12,9738984;-38,5172499;02,2087;-08,6610;-10,87;-10,94;0,07;;;
3643X;93279;NORDESTE;BAHIA;-10,8375283;-40,1129166;349,7780;337,4790;-12,30;-12,24;-0,06;;;
3645T;93255;NORDESTE;BAHIA;-11,3626337;-40,0135401;404,0854;392,4060;-11,68;-11,70;0,02;;;
3648M;93252;NORDESTE;BAHIA;-11,7967665;-39,4105866;221,8004;210,3990;-11,40;-11,46;0,06;;;
3650S;93188;NORDESTE;BAHIA;-12,2392359;-38,9797852;240,4793;229,0390;-11,44;-11,46;0,02;;;
3654M;93303;NORDESTE;BAHIA;-14,2096737;-42,0894528;648,2169;634,6170;-13,60;-13,53;-0,07;;;
3659D;93272;NORDESTE;BAHIA;-14,5961249;-41,2394554;440,4643;428,5100;-11,95;-11,89;-0,06;;;
3659J;93271;NORDESTE;BAHIA;-14,6014685;-41,1626376;410,4340;398,6200;-11,81;-11,71;-0,10;;;
3659V;93273;NORDESTE;BAHIA;-14,5575637;-41,1555372;437,9968;426,0500;-11,95;-11,85;-0,10;;;
3660G;93274;NORDESTE;BAHIA;-14,4028071;-41,1148744;414,1169;401,8500;-12,27;-12,11;-0,16;;;
3660P;93275;NORDESTE;BAHIA;-14,3028851;-41,1503790;406,0272;393,5300;-12,50;-12,39;-0,11;;;
3660X;93276;NORDESTE;BAHIA;-14,2058803;-41,2073141;341,1736;328,4300;-12,74;-12,54;-0,20;;;
3661H;93277;NORDESTE;BAHIA;-14,0804289;-41,1865339;379,3618;366,8000;-12,56;-12,50;-0,06;;;
3661R;93278;NORDESTE;BAHIA;-13,9901660;-41,1367571;348,6449;336,2100;-12,43;-12,30;-0,13;;;
